IDs:;240814 01_240812A_elasticity;03_DNAJB6_00_439_uM_exchange_expansion_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
582.061;63.8598087647423;25.983;14.931
583.064;63.8488087647423;25.983;14.931
584.056;63.4826329962899;25.986;14.932
585.053;63.621457257468;25.987;14.933
586.042;64.291457257468;25.983;14.933
587.042;63.4408087647423;25.985;14.931
588.042;64.0256329962899;25.983;14.932
589.044;63.7986329962899;25.984;14.932
590.044;63.5761058686963;25.991;14.935
591.031;63.9881503527807;26.034;14.969
592.03;64.0781503527807;26.034;14.969
593.023;63.8908010904051;26.038;14.971
594.044;63.9366265033811;26.038;14.972
595.054;63.9609284495974;26.043;14.976
596.076;63.7111753469458;26.002;14.946
597.077;64.06422791496;25.993;14.94
598.066;63.8981058686963;25.987;14.935
599.062;63.9940240241914;26.027;14.964
600.076;63.8051753469458;26.002;14.946
601.057;63.9594519457932;26.039;14.973
602.041;63.9292774176366;26.04;14.974
603.044;63.8666265033811;26.037;14.972
604.045;63.7956265033811;26.037;14.972
605.037;63.8664519457932;26.037;14.973
606.026;63.9579284495974;26.043;14.976
607.037;63.7882774176366;26.039;14.974
608.014;63.7904519457932;26.038;14.973
608.996;63.7822774176366;26.039;14.974
609.985;63.7721029189062;26.041;14.975
610.983;63.8947540097053;26.045;14.977
611.982;63.8339284495974;26.041;14.976
612.971;63.9774052181514;26.047;14.979
613.961;63.8767540097053;26.042;14.977
614.966;63.8385795992249;26.043;14.978
615.981;63.7987540097053;26.043;14.977
616.979;63.7905795992249;26.044;14.978
617.978;64.2664052181514;26.046;14.979
618.975;63.9447079878295;26.052;14.983
619.967;63.9447079878295;26.053;14.983
620.971;63.7094052181514;26.046;14.979
621.966;63.7134052181514;26.046;14.979
622.951;63.8044052181514;26.045;14.979
623.946;63.7404052181514;26.045;14.979
624.944;64.0418822513239;26.051;14.982
625.927;63.9363595489838;26.055;14.985
626.906;63.7475337537178;26.052;14.984
627.919;63.9203595489838;26.055;14.985
628.908;63.6948822513239;26.05;14.982
629.887;63.6887079878295;26.051;14.983
630.904;63.7807079878295;26.051;14.983
631.889;63.9551853736226;26.056;14.986
632.896;63.8175337537178;26.052;14.984
633.899;63.9500112276296;26.058;14.987
634.912;64.0140112276296;26.058;14.987
635.912;63.7773595489837;26.053;14.985
636.901;63.7411853736226;26.055;14.986
637.897;63.7780112276296;26.057;14.987
638.876;63.8388371109997;26.057;14.988
639.88;63.7630112276296;26.056;14.987
640.871;63.9953149372405;26.063;14.991
641.866;63.77548896581;26.06;14.99
642.859;63.8711409380147;26.065;14.992
643.884;63.7706630237281;26.059;14.989
644.889;63.8071409380147;26.062;14.992
645.928;63.84848896581;26.06;14.99
646.92;63.7643149372405;26.061;14.991
647.98;63.885793027575;26.067;14.994
648.978;63.7471409380147;26.063;14.992
649.975;63.8353149372405;26.061;14.991
650.981;63.686793027575;26.066;14.994
652.027;63.790793027575;26.066;14.994
653.052;63.871793027575;26.065;14.994
654.057;63.810793027575;26.065;14.994
655.061;63.7446191163512;26.067;14.995
656.057;63.7130975586065;26.071;14.998
657.071;63.7419237646508;26.072;14.999
658.069;63.66175;26.073;15
659.064;63.9574025585935;26.077;15.002
660.064;63.7034025585935;26.075;15.002
661.066;63.70075;26.073;15
662.086;63.7732288818281;26.076;15.003
663.103;63.7760552343482;26.078;15.004
664.096;63.6500552343482;26.078;15.004
665.096;63.7162288818281;26.076;15.003
666.094;63.7210552343482;26.079;15.004
667.112;63.6188816161488;26.08;15.005
668.121;63.7018816161488;26.079;15.005
669.116;63.6698816161488;26.08;15.005
670.121;63.702708027225;26.081;15.006
671.111;63.683708027225;26.082;15.006
672.106;63.6813609371853;26.084;15.008
673.094;63.6883609371853;26.083;15.008
674.102;63.7261874360595;26.084;15.009
675.104;63.6663609371853;26.084;15.008
676.121;63.7071874360595;26.086;15.009
677.139;63.7663609371853;26.083;15.008
678.141;63.69601396419;26.086;15.01
679.138;63.65001396419;26.088;15.01
680.134;63.7278405215719;26.087;15.011
681.147;63.6938405215719;26.088;15.011
682.129;63.6858405215719;26.088;15.011
683.124;63.7704937240704;26.089;15.013
684.117;64.2370565442058;26.048;14.981
685.121;63.37723086648;26.049;14.98
686.132;63.4164052181514;26.047;14.979
687.126;64.1424052181514;26.046;14.979
688.105;63.3190565442058;26.052;14.981
689.099;64.3250565442058;26.048;14.981
690.098;63.4577079878295;26.056;14.983
691.084;64.09123086648;26.046;14.98
692.067;63.1231853736226;26.06;14.986
693.049;64.4615337537178;26.053;14.984
694.026;63.2717079878295;26.052;14.983
695.023;63.8223595489838;26.056;14.985
696.045;63.5613595489838;26.057;14.985
697.049;64.2805337537178;26.052;14.984
698.043;63.0938371109997;26.064;14.988
699.03;64.2958822513239;26.049;14.982
700.039;63.4370112276296;26.058;14.987
701.061;63.6798371109997;26.058;14.988
