IDs:;DNAJB6_meas3_240729A;02_DNAJB6_05_000_uM_compression_corrected;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
366.924;57.0967743470713;52.459;40.003
367.923;57.087247411676;52.465;40.01
368.915;57.1007743470713;52.461;40.003
369.911;57.0830967527201;52.467;40.012
370.908;57.0933227234838;52.466;40.009
371.91;57.0814733117689;52.466;40.007
372.894;57.069247411676;52.469;40.01
373.884;57.0693980235141;52.469;40.008
374.891;57.0624733117689;52.468;40.007
375.895;57.0796991058993;52.466;40.004
376.874;57.0723227234838;52.47;40.009
377.863;57.0581720880888;52.473;40.011
378.862;57.0546238529595;52.469;40.005
379.849;57.0454733117689;52.472;40.007
380.838;57.0483227234838;52.475;40.009
381.84;57.04154858825;52.472;40.006
382.853;57.0724733117689;52.474;40.007
383.87;57.0273227234838;52.475;40.009
384.867;57.0293227234838;52.477;40.009
385.871;57.0306238529595;52.474;40.005
386.887;57.0293980235141;52.477;40.008
387.907;57.0163980235141;52.477;40.008
388.903;57.0163980235141;52.478;40.008
389.903;57.0073980235141;52.478;40.008
390.907;56.9983227234838;52.479;40.009
391.888;57.00354858825;52.478;40.006
392.886;57.0056991058993;52.476;40.004
393.881;57.0058495764774;52.477;40.002
394.902;56.9939247941197;52.476;40.001
395.896;56.991;52.476;40
396.901;56.9858495764774;52.478;40.002
397.902;56.9920751941203;52.476;39.999
398.897;56.9929247941197;52.477;40.001
399.888;56.9758495764774;52.478;40.002
400.888;56.9861503764826;52.476;39.998
401.88;56.9738495764774;52.479;40.002
402.882;56.98;52.478;40
403.887;56.9631503764826;52.477;39.998
404.871;56.9672255470888;52.477;39.997
405.888;56.9663758530405;52.477;39.995
406.893;56.9550751941203;52.48;39.999
407.891;56.9561503764826;52.48;39.998
408.883;56.9411503764826;52.48;39.998
409.886;56.9571503764826;52.481;39.998
410.889;56.9686012238459;52.477;39.992
411.872;56.9412255470888;52.481;39.997
412.861;56.9421503764826;52.482;39.998
413.856;56.9481503764826;52.483;39.998
414.861;56.9543007059407;52.484;39.996
415.87;56.9216991058993;52.49;40.004
416.885;56.9240751941203;52.485;39.999
417.888;56.932;52.488;40
418.892;56.9190751941203;52.489;39.999
419.903;56.9188495764774;52.491;40.002
420.888;56.9210751941203;52.488;39.999
421.88;56.9173007059408;52.488;39.996
422.88;56.9189247941197;52.491;40.001
423.885;56.8961503764826;52.49;39.998
424.895;56.9009247941197;52.493;40.001
