IDs:;DNAJB6_meas2;02_DNAJB6_00_439_uM_to_DNAJB6_05_000_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
557.989;61.414;26.238;14.997
558.986;61.414;26.24;14.999
559.999;61.223;26.235;14.996
560.985;61.399;26.24;14.998
562.019;61.404;26.238;14.997
563.018;61.443;26.238;14.997
564.026;61.359;26.257;15.011
565.04;61.368;26.259;15.013
566.051;61.362;26.259;15.013
567.064;61.268;26.259;15.013
568.061;61.318;26.259;15.013
569.069;61.319;26.259;15.012
570.082;61.164;26.255;15.01
571.081;61.289;26.26;15.013
572.094;61.303;26.258;15.012
573.122;61.237;26.256;15.01
574.135;61.361;26.258;15.011
575.138;61.257;26.258;15.011
576.141;61.36;26.259;15.012
577.149;61.347;26.259;15.013
578.159;61.243;26.261;15.014
579.153;61.32;26.262;15.014
580.154;61.301;26.267;15.018
581.151;61.284;26.268;15.019
582.156;61.38;26.268;15.019
583.161;61.345;26.27;15.021
584.175;61.341;26.271;15.021
585.176;61.311;26.27;15.02
586.18;61.136;26.264;15.017
587.181;61.243;26.269;15.02
588.181;61.282;26.268;15.019
589.185;61.326;26.268;15.019
590.18;61.072;26.264;15.017
591.163;61.226;26.269;15.02
592.164;61.247;26.268;15.019
593.149;61.274;26.269;15.019
594.16;60.634;26.246;15.001
595.153;61.143;26.247;15.003
596.157;61.113;26.247;15.002
597.156;61.164;26.248;15.003
598.155;61.261;26.248;15.004
599.173;61.18;26.248;15.004
600.182;61.152;26.251;15.006
601.201;61.025;26.246;15.002
602.206;60.925;26.249;15.005
603.207;61.189;26.251;15.006
604.257;60.976;26.246;15.002
605.271;61.066;26.244;15.001
606.269;61.213;26.25;15.005
607.265;61.083;26.247;15.004
608.307;61.135;26.249;15.004
609.307;61.089;26.249;15.003
610.307;60.954;26.245;15.002
611.29;61.183;26.248;15.004
612.279;61.019;26.243;15.001
613.269;61.067;26.249;15.004
614.282;60.981;26.246;15.002
615.281;60.96;26.245;15.002
616.267;61.156;26.25;15.005
617.243;60.833;26.247;15.002
618.243;61.099;26.25;15.004
619.23;60.848;26.243;15
620.238;60.899;26.244;15.001
621.233;60.945;26.244;15.001
622.228;60.911;26.243;15
623.217;60.983;26.243;15
624.21;60.787;26.245;15.001
625.197;60.858;26.243;15
626.195;60.83;26.244;15
627.217;60.882;26.245;15.001
628.201;60.934;26.246;15.002
629.234;60.977;26.246;15.002
630.227;60.894;26.243;15
631.22;60.809;26.245;15.001
632.217;60.925;26.243;15
633.258;60.9;26.244;15.001
634.262;60.823;26.246;15.002
635.332;61.008;26.245;15.002
636.334;60.899;26.245;15.001
637.344;61.237;26.249;15.004
638.339;60.859;26.247;15.003
639.333;60.856;26.245;15.001
640.32;60.851;26.243;15
641.306;60.782;26.241;14.998
642.311;60.803;26.241;14.998
643.296;60.768;26.243;14.999
644.275;60.741;26.244;15
645.269;60.779;26.243;14.999
646.271;60.796;26.241;14.997
647.285;60.852;26.24;14.997
648.304;60.866;26.239;14.997
649.302;60.898;26.24;14.997
650.318;60.785;26.241;14.998
651.308;60.739;26.242;14.998
652.302;60.885;26.24;14.997
653.308;60.871;26.24;14.997
654.306;60.784;26.238;14.996
655.326;60.731;26.241;14.997
656.327;60.82;26.239;14.996
657.357;60.709;26.24;14.997
658.358;60.975;26.239;14.997
659.368;60.718;26.24;14.997
660.361;60.73;26.239;14.996
661.349;60.777;26.239;14.996
662.336;60.7;26.237;14.994
663.339;60.797;26.236;14.994
664.351;60.754;26.236;14.994
665.402;60.796;26.236;14.994
666.396;60.638;26.235;14.993
667.448;60.704;26.236;14.994
668.45;60.772;26.237;14.995
669.45;60.761;26.238;14.995
670.443;60.723;26.236;14.994
671.48;60.715;26.235;14.993
672.474;60.768;26.236;14.994
673.486;60.738;26.237;14.994
674.47;60.7;26.238;14.995
675.463;60.604;26.238;14.995
676.473;60.7;26.235;14.993
677.493;60.687;26.236;14.993
678.49;60.739;26.236;14.994
679.506;60.688;26.238;14.995
680.495;60.642;26.235;14.993
681.475;60.633;26.234;14.992
682.515;60.778;26.236;14.994
683.505;60.683;26.238;14.994
684.497;60.677;26.237;14.994
685.505;60.625;26.234;14.991
686.503;60.672;26.236;14.993
687.584;60.68;26.235;14.993
688.578;60.783;26.236;14.994
689.603;60.662;26.237;14.994
690.622;60.649;26.238;14.994
691.609;60.607;26.237;14.994
692.603;60.705;26.237;14.994
693.605;60.64;26.24;14.996
694.605;60.676;26.239;14.996
695.586;60.601;26.242;14.997
696.598;60.782;26.243;14.999
697.612;60.726;26.242;14.998
698.583;60.664;26.241;14.997
699.582;60.728;26.238;14.996
700.589;60.525;26.239;14.995
701.583;60.623;26.241;14.997
702.594;60.583;26.238;14.995
703.579;60.654;26.241;14.997
704.57;60.643;26.242;14.997
705.574;60.609;26.242;14.997
706.554;60.641;26.242;14.998
707.592;60.544;26.245;14.999
708.59;60.681;26.241;14.997
709.603;60.507;26.243;14.998
710.598;60.716;26.241;14.997
711.594;60.535;26.243;14.998
712.568;60.477;26.242;14.997
713.558;60.54;26.24;14.996
714.563;60.524;26.241;14.996
715.558;60.501;26.24;14.996
716.542;60.507;26.241;14.997
717.541;60.64;26.242;14.997
718.53;60.498;26.244;14.999
719.529;60.527;26.239;14.995
720.532;60.536;26.242;14.997
721.535;60.563;26.24;14.996
722.54;60.469;26.242;14.997
723.573;60.462;26.242;14.997
724.588;60.441;26.243;14.998
725.591;60.599;26.242;14.997
726.593;60.475;26.246;15
727.639;60.432;26.247;15.001
728.62;60.473;26.246;15
729.641;60.386;26.246;15
730.648;60.603;26.244;14.999
731.643;60.416;26.248;15.001
732.654;60.433;26.251;15.004
733.638;60.477;26.249;15.002
734.62;60.462;26.25;15.003
735.6;60.46;26.25;15.003
736.603;60.472;26.254;15.006
737.626;60.42;26.255;15.007
738.622;60.475;26.257;15.008
739.598;60.354;26.258;15.009
740.614;60.428;26.259;15.01
741.631;60.484;26.258;15.009
742.638;60.389;26.26;15.011
743.627;60.313;26.262;15.012
744.647;60.346;26.264;15.014
745.653;60.381;26.264;15.014
746.65;60.46;26.264;15.014
747.649;60.407;26.265;15.015
748.634;60.257;26.265;15.014
749.634;60.326;26.263;15.013
750.625;60.285;26.264;15.014
751.604;60.385;26.261;15.011
752.599;60.369;26.261;15.011
753.607;60.423;26.261;15.012
754.606;60.355;26.262;15.012
