IDs:;DNAJB6_meas1;01_DNAJB6_00_439_uM_to_buffer;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
452.827;62.911;26.228;15.004
453.825;62.954;26.233;15.007
454.813;62.792;26.231;15.005
455.817;62.826;26.231;15.006
456.809;62.868;26.233;15.006
457.804;62.822;26.23;15.005
458.837;62.789;26.234;15.007
459.85;62.805;26.233;15.007
460.841;62.767;26.236;15.008
461.825;62.793;26.234;15.007
462.829;62.806;26.234;15.007
463.812;62.821;26.237;15.008
464.819;62.702;26.236;15.008
465.856;62.736;26.238;15.009
466.892;62.197;26.224;14.998
467.904;62.584;26.22;14.995
468.932;62.657;26.217;14.994
469.957;62.615;26.22;14.995
470.96;62.618;26.222;14.997
471.963;62.508;26.222;14.996
472.945;62.644;26.221;14.996
473.946;62.669;26.221;14.996
474.95;62.585;26.223;14.997
475.947;62.566;26.222;14.996
476.956;62.567;26.223;14.997
477.987;62.591;26.222;14.996
478.992;62.392;26.222;14.996
479.973;62.609;26.221;14.996
481.018;62.467;26.222;14.996
482.009;62.434;26.224;14.997
483.018;62.481;26.223;14.997
484.02;62.384;26.225;14.998
485.034;62.412;26.224;14.997
486.026;62.372;26.225;14.999
487.003;62.391;26.226;14.999
488.067;62.435;26.226;14.999
489.062;62.377;26.226;14.999
490.07;62.329;26.227;15
491.077;62.461;26.227;15
492.124;62.359;26.227;15
493.152;62.358;26.225;14.998
494.173;62.371;26.227;14.999
495.168;62.336;26.228;15
496.148;62.161;26.229;15
497.144;62.243;26.228;15
498.184;62.21;26.229;15.001
499.175;62.16;26.228;14.999
500.193;62.141;26.227;14.999
501.175;62.177;26.228;15
502.211;62.148;26.231;15.002
503.212;62.142;26.23;15.001
504.202;62.161;26.229;15.001
505.221;62.166;26.227;14.999
506.223;62.241;26.227;15
507.21;62.045;26.227;14.999
508.197;62.102;26.226;14.999
509.189;62.143;26.229;15
510.198;62.06;26.23;15
511.176;62.023;26.228;14.999
512.177;61.956;26.231;15.001
513.179;62.087;26.23;15.001
514.174;62.093;26.23;15.001
515.179;61.829;26.233;15.003
516.173;61.882;26.235;15.003
517.16;62.021;26.231;15.001
518.163;61.893;26.235;15.004
519.164;62.006;26.234;15.003
520.176;62.023;26.235;15.004
521.174;61.943;26.236;15.005
522.176;61.91;26.236;15.005
523.181;62.011;26.238;15.007
524.189;61.789;26.24;15.007
525.184;61.833;26.241;15.008
526.177;61.909;26.243;15.01
527.224;61.816;26.247;15.013
528.235;61.705;26.229;14.998
529.217;61.816;26.225;14.996
530.232;61.875;26.221;14.993
531.24;61.86;26.22;14.993
532.242;61.932;26.222;14.993
533.232;61.87;26.221;14.993
534.232;61.941;26.221;14.993
535.229;61.746;26.223;14.994
536.23;61.685;26.222;14.993
537.222;61.735;26.217;14.989
538.276;61.745;26.218;14.99
539.265;61.854;26.219;14.991
540.265;61.774;26.22;14.992
541.279;61.729;26.22;14.992
542.28;61.601;26.222;14.993
543.274;61.682;26.221;14.993
544.292;61.732;26.222;14.993
545.302;61.63;26.223;14.993
546.337;61.681;26.221;14.992
547.34;61.601;26.224;14.994
548.327;61.605;26.227;14.997
549.345;61.615;26.227;14.997
550.378;61.772;26.228;14.997
551.369;61.643;26.23;14.999
552.371;61.498;26.232;14.999
553.364;61.573;26.234;15.002
554.403;61.476;26.236;15.003
555.403;61.607;26.235;15.003
556.421;61.539;26.235;15.002
557.433;61.529;26.235;15.002
558.457;61.478;26.236;15.003
559.474;61.53;26.236;15.003
560.458;61.459;26.238;15.004
561.464;61.49;26.239;15.005
562.473;61.428;26.24;15.005
563.495;61.578;26.238;15.005
564.484;61.567;26.241;15.006
565.484;61.499;26.242;15.007
566.483;61.478;26.24;15.006
567.473;61.52;26.239;15.005
568.511;61.439;26.241;15.006
569.505;61.514;26.241;15.007
570.505;61.489;26.242;15.007
571.514;61.446;26.242;15.007
572.526;61.46;26.243;15.008
573.565;61.459;26.245;15.009
574.576;61.384;26.246;15.009
575.584;61.426;26.246;15.01
576.582;61.444;26.246;15.009
577.585;61.435;26.247;15.011
578.667;61.457;26.249;15.012
579.662;61.381;26.23;14.998
580.668;61.297;26.228;14.995
581.664;61.394;26.228;14.996
582.683;61.289;26.229;14.996
583.68;61.343;26.229;14.997
584.661;61.362;26.229;14.997
585.674;61.267;26.23;14.997
586.682;61.272;26.231;14.997
587.662;61.226;26.23;14.997
588.691;61.328;26.229;14.996
589.698;61.235;26.23;14.997
590.674;61.324;26.229;14.996
591.682;61.381;26.23;14.997
592.679;61.242;26.231;14.997
593.712;61.227;26.231;14.998
594.736;61.241;26.231;14.997
595.73;61.178;26.23;14.996
596.716;61.271;26.231;14.997
597.727;61.31;26.234;15
598.773;61.332;26.234;15
599.774;61.201;26.235;15
600.78;61.185;26.236;15.001
601.769;61.239;26.235;15
602.787;61.267;26.235;15.001
603.796;61.222;26.235;15.001
604.827;61.28;26.236;15.001
605.819;61.094;26.237;15.002
606.83;61.257;26.237;15.002
607.857;61.203;26.24;15.004
608.853;61.166;26.242;15.005
609.852;61.194;26.243;15.006
610.84;61.144;26.243;15.006
611.865;61.215;26.242;15.006
612.868;61.15;26.242;15.006
613.878;61.169;26.244;15.006
614.89;61.124;26.241;15.005
615.903;61.174;26.245;15.007
616.891;61.174;26.244;15.007
617.886;61.245;26.244;15.007
618.867;61.161;26.245;15.008
619.919;61.131;26.246;15.008
620.929;61.065;26.246;15.008
622.045;61.059;26.249;15.009
623.037;60.959;26.23;14.995
624.043;61.122;26.227;14.994
625.045;61.037;26.226;14.993
626.049;61.016;26.229;14.995
627.036;61.024;26.227;14.993
628.034;61.081;26.226;14.992
629.041;61.045;26.224;14.991
630.025;61.036;26.224;14.991
631.008;61.005;26.225;14.992
632.023;61.083;26.226;14.993
