IDs:;model_03_330_uM
Concentration [uM]:;03.330
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
460.0;57.213021940882854;Inf;Inf
461.0;57.21006956250287;Inf;Inf
462.0;57.20712365055284;Inf;Inf
463.0;57.20418417651713;Inf;Inf
464.0;57.20125111206852;Inf;Inf
465.0;57.19832442906705;Inf;Inf
466.0;57.19540409955804;Inf;Inf
467.0;57.192490095770744;Inf;Inf
468.0;57.18958239011628;Inf;Inf
469.0;57.186680955186524;Inf;Inf
470.0;57.18378576375246;Inf;Inf
471.0;57.18089678876227;Inf;Inf
472.0;57.178014003340216;Inf;Inf
473.0;57.17513738078485;Inf;Inf
474.0;57.1722668945677;Inf;Inf
475.0;57.16940251833151;Inf;Inf
476.0;57.16654422588908;Inf;Inf
477.0;57.16369199122157;Inf;Inf
478.0;57.16084578847716;Inf;Inf
479.0;57.15800559196967;Inf;Inf
480.0;57.155171376177044;Inf;Inf
481.0;57.152343115739896;Inf;Inf
482.0;57.14952078546044;Inf;Inf
483.0;57.14670436030078;Inf;Inf
484.0;57.14389381538169;Inf;Inf
485.0;57.14108912598133;Inf;Inf
486.0;57.138290267533804;Inf;Inf
487.0;57.1354972156279;Inf;Inf
488.0;57.13270994600585;Inf;Inf
489.0;57.12992843456196;Inf;Inf
490.0;57.12715265734134;Inf;Inf
491.0;57.12438259053884;Inf;Inf
492.0;57.121618210497566;Inf;Inf
493.0;57.11885949370763;Inf;Inf
494.0;57.11610641680518;Inf;Inf
495.0;57.113358956570984;Inf;Inf
496.0;57.110617089929285;Inf;Inf
497.0;57.10788079394674;Inf;Inf
498.0;57.10515004583099;Inf;Inf
499.0;57.102424822929855;Inf;Inf
500.0;57.09970510272984;Inf;Inf
501.0;57.096990862855215;Inf;Inf
502.0;57.09428208106676;Inf;Inf
503.0;57.09157873526089;Inf;Inf
504.0;57.088880803468285;Inf;Inf
505.0;57.08618826385298;Inf;Inf
506.0;57.08350109471107;Inf;Inf
507.0;57.08081927447003;Inf;Inf
508.0;57.078142781687234;Inf;Inf
509.0;57.075471595049194;Inf;Inf
510.0;57.07280569337046;Inf;Inf
511.0;57.07014505559246;Inf;Inf
512.0;57.06748966078261;Inf;Inf
513.0;57.06483948813343;Inf;Inf
514.0;57.06219451696127;Inf;Inf
515.0;57.05955472670561;Inf;Inf
516.0;57.05692009692776;Inf;Inf
517.0;57.05429060731029;Inf;Inf
518.0;57.05166623765575;Inf;Inf
519.0;57.04904696788586;Inf;Inf
520.0;57.04643277804062;Inf;Inf
521.0;57.04382364827721;Inf;Inf
522.0;57.04121955886921;Inf;Inf
523.0;57.038620490205766;Inf;Inf
524.0;57.03602642279042;Inf;Inf
525.0;57.03343733724055;Inf;Inf
526.0;57.03085321428623;Inf;Inf
527.0;57.02827403476953;Inf;Inf
528.0;57.0256997796435;Inf;Inf
529.0;57.023130429971225;Inf;Inf
530.0;57.020565966925496;Inf;Inf
531.0;57.01800637178734;Inf;Inf
532.0;57.01545162594551;Inf;Inf
533.0;57.01290171089562;Inf;Inf
534.0;57.01035660823933;Inf;Inf
535.0;57.0078162996835;Inf;Inf
536.0;57.00528076703938;Inf;Inf
537.0;57.00274999222186;Inf;Inf
538.0;57.00022395724864;Inf;Inf
539.0;56.997702644239524;Inf;Inf
540.0;56.9951860354156;Inf;Inf
541.0;56.992674113098495;Inf;Inf
542.0;56.990166859709426;Inf;Inf
543.0;56.987664257768934;Inf;Inf
544.0;56.98516628989558;Inf;Inf
545.0;56.98267293880546;Inf;Inf
546.0;56.98018418731174;Inf;Inf
547.0;56.97770001832333;Inf;Inf
548.0;56.975220414844756;Inf;Inf
549.0;56.972745359975;Inf;Inf
550.0;56.97027483690716;Inf;Inf
551.0;56.96780882892758;Inf;Inf
552.0;56.96534731941517;Inf;Inf
553.0;56.96289029184058;Inf;Inf
554.0;56.96043772976589;Inf;Inf
555.0;56.9579896168436;Inf;Inf
556.0;56.9555459368161;Inf;Inf
557.0;56.953106673515045;Inf;Inf
558.0;56.95067181086054;Inf;Inf
559.0;56.94824133286074;Inf;Inf
560.0;56.94581522361107;Inf;Inf
561.0;56.94339346729357;Inf;Inf
562.0;56.94097604817616;Inf;Inf
563.0;56.93856295061236;Inf;Inf
564.0;56.936154159040385;Inf;Inf
565.0;56.93374965798259;Inf;Inf
566.0;56.93134943204499;Inf;Inf
567.0;56.928953465916386;Inf;Inf
568.0;56.92656174436806;Inf;Inf
569.0;56.92417425225304;Inf;Inf
570.0;56.92179097450557;Inf;Inf
571.0;56.919411896140375;Inf;Inf
572.0;56.917037002252314;Inf;Inf
573.0;56.914666278015815;Inf;Inf
574.0;56.91229970868394;Inf;Inf
575.0;56.90993727958826;Inf;Inf
576.0;56.907578976138076;Inf;Inf
577.0;56.905224783820074;Inf;Inf
578.0;56.90287468819741;Inf;Inf
579.0;56.90052867490947;Inf;Inf
580.0;56.8981867296713;Inf;Inf
581.0;56.89584883827288;Inf;Inf
582.0;56.893514986578964;Inf;Inf
583.0;56.891185160528224;Inf;Inf
584.0;56.888859346132946;Inf;Inf
585.0;56.88653752947825;Inf;Inf
586.0;56.884219696721864;Inf;Inf
587.0;56.88190583409348;Inf;Inf
588.0;56.87959592789433;Inf;Inf
589.0;56.877289964496605;Inf;Inf
590.0;56.874987930343096;Inf;Inf
591.0;56.87268981194648;Inf;Inf
592.0;56.870395595889065;Inf;Inf
593.0;56.86810526882223;Inf;Inf
594.0;56.8658188174659;Inf;Inf
595.0;56.863536228608226;Inf;Inf
596.0;56.86125748910486;Inf;Inf
597.0;56.85898258587874;Inf;Inf
598.0;56.856711505919556;Inf;Inf
599.0;56.85444423628327;Inf;Inf
600.0;56.85218076409167;Inf;Inf
601.0;56.84992107653195;Inf;Inf
602.0;56.84766516085613;Inf;Inf
603.0;56.84541300438091;Inf;Inf
604.0;56.84316459448698;Inf;Inf
605.0;56.84091991861867;Inf;Inf
606.0;56.83867896428363;Inf;Inf
607.0;56.83644171905212;Inf;Inf
608.0;56.834208170556884;Inf;Inf
609.0;56.83197830649249;Inf;Inf
610.0;56.829752114615175;Inf;Inf
611.0;56.8275295827423;Inf;Inf
612.0;56.82531069875196;Inf;Inf
613.0;56.82309545058244;Inf;Inf
614.0;56.820883826232084;Inf;Inf
615.0;56.818675813758645;Inf;Inf
616.0;56.816471401279074;Inf;Inf
617.0;56.81427057696914;Inf;Inf
618.0;56.812073329062756;Inf;Inf
619.0;56.80987964585186;Inf;Inf
620.0;56.80768951568615;Inf;Inf
621.0;56.805502926972295;Inf;Inf
622.0;56.80331986817396;Inf;Inf
623.0;56.8011403278113;Inf;Inf
624.0;56.798964294460404;Inf;Inf
625.0;56.79679175675329;Inf;Inf
626.0;56.79462270337707;Inf;Inf
627.0;56.792457123074165;Inf;Inf
628.0;56.79029500464139;Inf;Inf
629.0;56.7881363369301;Inf;Inf
630.0;56.78598110884538;Inf;Inf
631.0;56.78382930934604;Inf;Inf
632.0;56.78168092744414;Inf;Inf
633.0;56.779535952204604;Inf;Inf
634.0;56.77739437274494;Inf;Inf
635.0;56.77525617823491;Inf;Inf
636.0;56.773121357896116;Inf;Inf
637.0;56.7709899010018;Inf;Inf
638.0;56.76886179687648;Inf;Inf
639.0;56.76673703489547;Inf;Inf
640.0;56.76461560448475;Inf;Inf
641.0;56.76249749512064;Inf;Inf
642.0;56.76038269632918;Inf;Inf
643.0;56.758271197686284;Inf;Inf
644.0;56.75616298881705;Inf;Inf
645.0;56.754058059395724;Inf;Inf
646.0;56.75195639914517;Inf;Inf
647.0;56.749857997836564;Inf;Inf
648.0;56.747762845289266;Inf;Inf
649.0;56.745670931370455;Inf;Inf
650.0;56.743582245994766;Inf;Inf
651.0;56.74149677912398;Inf;Inf
652.0;56.73941452076685;Inf;Inf
653.0;56.73733546097872;Inf;Inf
654.0;56.73525958986128;Inf;Inf
655.0;56.733186897562156;Inf;Inf
656.0;56.73111737427478;Inf;Inf
657.0;56.72905101023807;Inf;Inf
658.0;56.726987795736186;Inf;Inf
659.0;56.72492772109796;Inf;Inf
660.0;56.7228707766971;Inf;Inf
661.0;56.72081695295156;Inf;Inf
662.0;56.71876624032338;Inf;Inf
663.0;56.71671862931835;Inf;Inf
664.0;56.71467411048597;Inf;Inf
665.0;56.7126326744188;Inf;Inf
666.0;56.710594311752544;Inf;Inf
667.0;56.70855901316567;Inf;Inf
668.0;56.706526769379124;Inf;Inf
669.0;56.70449757115595;Inf;Inf
670.0;56.70247140930136;Inf;Inf
671.0;56.70044827466214;Inf;Inf
672.0;56.69842815812669;Inf;Inf
673.0;56.696411050624434;Inf;Inf
674.0;56.694396943125874;Inf;Inf
675.0;56.69238582664225;Inf;Inf
676.0;56.690377692225304;Inf;Inf
677.0;56.68837253096688;Inf;Inf
678.0;56.68637033399902;Inf;Inf
679.0;56.684371092493315;Inf;Inf
680.0;56.68237479766099;Inf;Inf
681.0;56.68038144075259;Inf;Inf
682.0;56.67839101305749;Inf;Inf
683.0;56.6764035059041;Inf;Inf
