7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	[Not merged]	[Not merged]
240914_noSeedspH7p4_platereader2_file1to4: A01 X	240914_noSeedspH7p4_platereader2_file1to4: A01 Y	240914_noSeedspH7p4_platereader2_file1to4: A02 X	240914_noSeedspH7p4_platereader2_file1to4: A02 Y	240914_noSeedspH7p4_platereader2_file1to4: A03 X	240914_noSeedspH7p4_platereader2_file1to4: A03 Y	240914_noSeedspH7p4_platereader2_file1to4: A04 X	240914_noSeedspH7p4_platereader2_file1to4: A04 Y	240914_noSeedspH7p4_platereader2_file1to4: A05 X	240914_noSeedspH7p4_platereader2_file1to4: A05 Y	240914_noSeedspH7p4_platereader2_file1to4: B10 X	240914_noSeedspH7p4_platereader2_file1to4: B10 Y
24160.0	-0.004509269711063974	53440.0	-0.005309640065103108	53440.0	-0.00314487257780817	53440.0	-0.004875334196295737	53440.0	-0.005774015738657334	170427.0	-0.00018545338938146075
24320.0	-0.003859178402784765	53600.0	-0.006021149621565838	53600.0	-0.0036568285788467097	53600.0	-0.006931926785303855	53600.0	-0.004226341416955368	170587.0	-0.0006270090783849579
24480.0	-0.0034454839338798147	53760.0	-0.005665394843334473	53760.0	-0.0051195600103853935	53760.0	-0.008020711097131681	53760.0	-0.004385077244822236	170747.0	0.00012363559292098721
24640.0	-0.0039182776126283295	53920.0	-0.006065618968844759	53920.0	-0.004132216294096782	53920.0	-0.007718271010512841	53920.0	-0.004900968685389558	170907.0	-0.00014129782048111103
24800.0	-0.003475033538801597	54080.0	-0.006732659178028569	54080.0	-0.005009855153019992	54080.0	-0.008807055322340667	54080.0	-0.004662864943589255	171067.0	-0.0005386979405842585
24960.0	-0.004391071291376845	54240.0	-0.0073107606926545365	54240.0	-0.004644172295135321	54240.0	-0.005903630490799796	54240.0	-0.0060518034374243525	171227.0	-0.0002737645271821602
25120.0	-0.004036476032315458	54400.0	-0.005354109412382029	54400.0	-0.005302401439327729	54400.0	-0.008141687131779218	54400.0	-0.0060518034374243525	171387.0	0.0003444134374227358
25280.0	-0.004302422476611498	54560.0	-0.0061545576634026	54560.0	-0.003912806579365979	54560.0	-0.007052902819951391	54560.0	-0.0048216007714561235	171547.0	3.53244551202878e-05
25440.0	-0.0032386366994273394	54720.0	-0.006732659178028569	54720.0	-0.005192696581962327	54720.0	-0.006145582560094868	54720.0	-0.005099388470223143	171707.0	-0.0012893426118902036
25600.0	-0.004657017735672885	54880.0	-0.006510312441633965	54880.0	-0.004351626008827584	54880.0	-0.006689974716008782	54880.0	-0.005972435523490919	171867.0	-9.714225158076134e-05
25760.0	-0.0045979185258293205	55040.0	-0.007844392860001584	55040.0	-0.005594947725635466	55040.0	-0.008202175149102986	55040.0	-0.00581369969562405	172027.0	-0.0002737645271821602
25920.0	-0.004036476032315458	55200.0	-0.005309640065103108	55200.0	-0.005156128296173861	55200.0	-0.007960223079807913	55200.0	-0.0058930676095574844	172187.0	3.53244551202878e-05
26080.0	-0.004804765760281796	55360.0	-0.006287965705239362	55360.0	-0.003803101722000578	55360.0	-0.006508510664037477	55360.0	-0.005575595953823748	172347.0	-0.0002737645271821602
26240.0	-0.004509269711063974	55520.0	-0.0057988028851712345	55520.0	-0.004497899151981453	55520.0	-0.007173878854598927	55520.0	-0.005615279910790465	172507.0	-0.00022960895828181047
26400.0	-0.003800079192941201	55680.0	-0.0065992511361918065	55680.0	-0.00453446743776992	55680.0	-0.007657782993189073	55680.0	-0.006131171351357787	172667.0	-0.0005386979405842585
26560.0	-0.004125124847080805	55840.0	-0.005398578759660949	55840.0	-0.0048635820098661235	55840.0	-0.007657782993189073	55840.0	-0.0052978082550567285	172827.0	-0.00018545338938146075
26720.0	-0.004302422476611498	56000.0	-0.005754333537892314	56000.0	-0.004936718581443058	56000.0	-0.007476318941217768	56000.0	-0.005456544082923597	172987.0	-0.0006270090783849579
26880.0	-0.004361521686455063	56160.0	-0.006999475261702092	56160.0	-0.00453446743776992	56160.0	-0.007173878854598927	56160.0	-0.005258124298090011	173147.0	-0.0007153202161856572
27040.0	-0.003859178402784765	56320.0	-0.006910536567144251	56320.0	-0.004973286867231525	56320.0	-0.007960223079807913	56320.0	-0.005654963867757182	173307.0	0.00021194673072168663
27200.0	-0.004361521686455063	56480.0	-0.007844392860001584	56480.0	-0.004388194294616052	56480.0	-0.007173878854598927	56480.0	-0.005654963867757182	173467.0	0.0004768801441237849
27360.0	-0.004272872871689716	56640.0	-0.006732659178028569	56640.0	-0.005229264867750795	56640.0	-0.006992414802627623	56640.0	-0.005178756384156578	173627.0	-0.0008919424917870561
27520.0	-0.004893414575047142	56800.0	-0.007444168734491299	56800.0	-0.005192696581962327	56800.0	-0.007899735062484146	56800.0	-0.005615279910790465	173787.0	-0.0008477869228867064
27680.0	-0.004361521686455063	56960.0	-0.0065547817889128855	56960.0	-0.004571035723558387	56960.0	-0.007657782993189073	56960.0	-0.005099388470223143	173947.0	-0.0009360980606874058
