"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"4.3974e+05","2.1659e-12","2.1842e-12","4.2810e-07","4.2843e-07","1.0000e+00","7.1870e-01","1.4175e-03"," 0.33 %"
"1.1129e+06","2.1659e-12","2.1842e-12","1.6915e-07","1.6928e-07","1.8571e+00","7.1870e-01","1.1246e-05"," 0.00 %"
"1.2438e+06","2.1659e-12","2.1842e-12","1.5136e-07","1.5147e-07","2.0000e+00","7.1870e-01","3.3126e-05"," 0.01 %"
"4.4725e+05","2.1905e-12","2.2090e-12","4.2569e-07","4.2602e-07","1.0000e+00","7.1870e-01","3.3964e-04"," 0.08 %"
"7.6367e+05","2.1905e-12","2.2090e-12","2.4931e-07","2.4950e-07","1.4286e+00","7.1870e-01","1.2953e-05"," 0.00 %"
"1.2650e+06","2.1905e-12","2.2090e-12","1.5050e-07","1.5062e-07","2.0000e+00","7.1870e-01","5.3906e-05"," 0.01 %"
"7.7657e+05","2.2151e-12","2.2338e-12","2.4792e-07","2.4811e-07","1.4286e+00","7.1870e-01","1.1995e-05"," 0.00 %"
"1.1511e+06","2.2151e-12","2.2338e-12","1.6726e-07","1.6739e-07","1.8571e+00","7.1870e-01","1.1079e-05"," 0.00 %"
"1.2864e+06","2.2151e-12","2.2338e-12","1.4967e-07","1.4978e-07","2.0000e+00","7.1870e-01","1.1944e-05"," 0.00 %"
"6.7413e+05","2.2397e-12","2.2586e-12","2.8877e-07","2.8899e-07","1.2857e+00","7.1870e-01","2.6848e-05"," 0.01 %"
"1.3079e+06","2.2397e-12","2.2586e-12","1.4884e-07","1.4895e-07","2.0000e+00","7.1870e-01","1.7457e-05"," 0.00 %"
"1.3295e+06","2.2643e-12","2.2835e-12","1.4803e-07","1.4814e-07","2.0000e+00","7.1870e-01","6.1680e-06"," 0.00 %"
"4.7773e+05","2.2889e-12","2.3083e-12","4.1644e-07","4.1676e-07","1.0000e+00","7.1870e-01","1.3485e-06"," 0.00 %"
"6.9646e+05","2.2889e-12","2.3083e-12","2.8565e-07","2.8587e-07","1.2857e+00","7.1870e-01","1.6348e-04"," 0.04 %"
"8.1571e+05","2.2889e-12","2.3083e-12","2.4389e-07","2.4408e-07","1.4286e+00","7.1870e-01","1.6149e-05"," 0.00 %"
"1.3512e+06","2.2889e-12","2.3083e-12","1.4723e-07","1.4735e-07","2.0000e+00","7.1870e-01","3.8193e-05"," 0.01 %"
"4.8545e+05","2.3135e-12","2.3331e-12","4.1422e-07","4.1453e-07","1.0000e+00","7.1870e-01","1.7315e-03"," 0.41 %"
"1.2286e+06","2.3135e-12","2.3331e-12","1.6367e-07","1.6379e-07","1.8571e+00","7.1870e-01","2.9666e-05"," 0.01 %"
"1.3731e+06","2.3135e-12","2.3331e-12","1.4645e-07","1.4656e-07","2.0000e+00","7.1870e-01","1.3417e-04"," 0.03 %"
"4.9322e+05","2.3381e-12","2.3579e-12","4.1203e-07","4.1235e-07","1.0000e+00","7.1870e-01","7.6788e-03"," 1.81 %"
"6.0260e+05","2.3381e-12","2.3579e-12","3.3724e-07","3.3750e-07","1.1429e+00","7.1870e-01","2.8784e-06"," 0.00 %"
"9.7158e+05","2.3381e-12","2.3579e-12","2.0916e-07","2.0933e-07","1.5714e+00","7.1870e-01","3.7341e-05"," 0.01 %"
"1.2483e+06","2.3381e-12","2.3579e-12","1.6280e-07","1.6293e-07","1.8571e+00","7.1870e-01","1.8116e-05"," 0.00 %"
"1.3950e+06","2.3381e-12","2.3579e-12","1.4568e-07","1.4579e-07","2.0000e+00","7.1870e-01","3.9988e-05"," 0.01 %"
"5.0102e+05","2.3627e-12","2.3827e-12","4.0988e-07","4.1019e-07","1.0000e+00","7.1870e-01","1.0550e-03"," 0.25 %"
"7.3042e+05","2.3627e-12","2.3827e-12","2.8115e-07","2.8137e-07","1.2857e+00","7.1870e-01","1.7292e-06"," 0.00 %"
