IDs:;240715_06_240712E;06_DNAJB6_00_988_uM;
Concentration [uM]:;0.988;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
591.84;58.382;51.566;38.98
592.845;58.372;51.568;38.981
593.829;58.384;51.572;38.985
594.817;58.369;51.569;38.981
595.84;58.37;51.574;38.987
596.832;58.359;51.572;38.983
597.84;58.348;51.571;38.983
598.837;58.35;51.571;38.98
599.849;58.342;51.571;38.982
600.843;58.349;51.571;38.981
601.834;58.34;51.575;38.983
602.83;58.335;51.576;38.983
603.817;58.33;51.578;38.987
604.82;58.341;51.575;38.983
605.809;58.324;51.578;38.985
606.794;58.332;51.579;38.987
607.784;58.321;51.581;38.989
608.757;58.317;51.581;38.988
609.744;58.328;51.577;38.982
610.745;58.322;51.577;38.982
611.75;58.314;51.578;38.982
612.749;58.309;51.58;38.985
613.751;58.313;51.581;38.984
614.75;58.31;51.58;38.983
615.752;58.302;51.583;38.987
616.741;58.307;51.58;38.982
617.76;58.301;51.584;38.987
618.775;58.297;51.582;38.985
619.786;58.294;51.584;38.986
620.803;58.291;51.585;38.986
621.79;58.284;51.585;38.986
622.802;58.288;51.585;38.985
623.791;58.276;51.586;38.986
624.783;58.283;51.584;38.982
625.778;58.278;51.585;38.982
626.78;58.273;51.586;38.985
627.787;58.27;51.585;38.983
628.794;58.27;51.588;38.985
629.777;58.276;51.584;38.98
630.768;58.265;51.585;38.982
631.762;58.269;51.587;38.984
632.761;58.267;51.586;38.981
633.755;58.264;51.586;38.98
634.773;58.267;51.586;38.98
635.773;58.259;51.586;38.979
636.76;58.262;51.586;38.98
637.764;58.256;51.585;38.978
638.747;58.246;51.584;38.977
639.744;58.231;51.585;38.978
640.737;58.244;51.586;38.978
641.733;58.243;51.584;38.975
642.733;58.237;51.585;38.975
643.73;58.225;51.584;38.974
644.744;58.228;51.584;38.975
645.761;58.209;51.586;38.977
646.762;58.23;51.589;38.979
647.769;58.221;51.589;38.979
648.759;58.202;51.587;38.977
649.755;58.225;51.592;38.98
650.758;58.212;51.589;38.976
651.766;58.217;51.59;38.977
652.779;58.202;51.588;38.975
653.772;58.216;51.591;38.978
654.765;58.196;51.588;38.973
655.763;58.193;51.589;38.974
656.753;58.199;51.59;38.976
657.764;58.2;51.591;38.975
658.767;58.193;51.591;38.975
659.771;58.185;51.59;38.974
660.78;58.189;51.591;38.974
661.761;58.199;51.591;38.975
662.778;58.176;51.593;38.975
663.796;58.175;51.593;38.975
664.784;58.181;51.592;38.974
665.777;58.201;51.59;38.968
666.772;58.172;51.59;38.971
667.768;58.18;51.592;38.972
668.745;58.171;51.594;38.975
669.739;58.196;51.59;38.966
670.747;58.17;51.593;38.971
671.758;58.199;51.596;38.972
672.77;58.169;51.595;38.972
673.777;58.185;51.592;38.965
674.768;58.192;51.594;38.969
675.755;58.173;51.597;38.971
676.756;58.181;51.596;38.969
677.758;58.187;51.596;38.97
678.766;58.157;51.593;38.966
679.739;58.167;51.591;38.962
680.73;58.167;51.597;38.968
681.721;58.169;51.596;38.968
682.72;58.141;51.597;38.972
683.726;58.15;51.595;38.964
684.74;58.166;51.597;38.967
685.764;58.121;51.598;38.97
686.742;58.154;51.601;38.97
687.751;58.157;51.599;38.968
688.738;58.143;51.6;38.969
689.733;58.13;51.599;38.965
690.728;58.134;51.604;38.97
691.729;58.134;51.599;38.965
692.743;58.135;51.603;38.969
693.763;58.129;51.602;38.967
694.755;58.129;51.603;38.968
695.751;58.133;51.603;38.968
696.731;58.125;51.602;38.967
697.741;58.121;51.604;38.968
698.739;58.125;51.605;38.969
699.768;58.109;51.607;38.97
700.765;58.053;51.601;38.964
701.768;58.118;51.603;38.966
702.778;58.112;51.602;38.965
703.775;58.058;51.597;38.959
704.768;58.109;51.602;38.964
705.748;58.11;51.603;38.965
706.746;58.107;51.601;38.961
707.738;58.097;51.605;38.965
708.716;58.098;51.601;38.963
709.705;58.094;51.603;38.961
710.683;58.087;51.601;38.96
711.672;58.085;51.604;38.963
712.671;58.077;51.604;38.963
713.661;58.081;51.605;38.964
714.661;58.085;51.604;38.962
715.675;58.074;51.605;38.961
716.676;58.074;51.606;38.962
717.655;58.076;51.606;38.962
718.64;58.077;51.607;38.963
719.638;58.074;51.606;38.96
720.631;58.073;51.606;38.962
721.621;58.064;51.608;38.963
722.619;58.074;51.607;38.96
723.619;58.066;51.608;38.962
724.625;58.023;51.602;38.956
725.606;58.067;51.606;38.958
726.592;58.045;51.606;38.959
727.585;58.064;51.607;38.959
728.587;58.042;51.606;38.957
729.575;58.004;51.601;38.953
730.571;58.045;51.606;38.958
731.569;58.041;51.607;38.958
732.569;58.038;51.609;38.959
733.573;58.038;51.607;38.958
734.582;58.049;51.608;38.956
735.566;58.045;51.607;38.956
736.554;58.047;51.606;38.954
737.544;58.027;51.604;38.952
738.539;58.031;51.607;38.956
739.533;58.028;51.608;38.956
740.534;58.035;51.605;38.951
741.519;58.018;51.608;38.956
742.495;58.018;51.609;38.955
743.488;58.019;51.606;38.951
744.471;58.025;51.605;38.95
745.444;58.019;51.606;38.951
746.447;58.016;51.61;38.955
747.433;58.016;51.609;38.953
748.421;57.993;51.607;38.952
749.417;58.015;51.607;38.95
750.407;58.016;51.607;38.95
751.402;57.994;51.607;38.952
752.406;57.991;51.606;38.95
753.395;57.986;51.61;38.954
754.402;57.969;51.607;38.95
755.411;57.997;51.607;38.95
756.424;57.981;51.608;38.95
757.407;57.99;51.608;38.95
758.395;57.982;51.609;38.952
759.39;57.973;51.608;38.948
760.392;57.961;51.607;38.948
761.398;58;51.606;38.948
762.384;57.969;51.607;38.946
763.372;57.934;51.609;38.951
764.365;57.959;51.608;38.947
765.351;57.921;51.608;38.948
766.335;57.947;51.609;38.948
767.355;57.91;51.608;38.947
768.349;57.942;51.611;38.948
769.349;57.95;51.612;38.95
770.359;57.9;51.608;38.947
771.34;57.923;51.612;38.952
772.324;57.919;51.612;38.95
773.314;57.942;51.61;38.945
774.307;57.915;51.61;38.948
775.297;57.91;51.611;38.948
776.283;57.93;51.611;38.946
777.28;57.923;51.612;38.949
778.278;57.909;51.611;38.945
779.26;57.909;51.613;38.947
780.277;57.933;51.612;38.945
781.263;57.892;51.613;38.947
782.265;57.913;51.613;38.946
783.274;57.89;51.613;38.948
784.289;57.893;51.614;38.948
785.278;57.922;51.613;38.946
786.282;57.9;51.615;38.946
787.279;57.896;51.614;38.946
788.27;57.875;51.615;38.947
789.28;57.874;51.617;38.95
790.258;57.875;51.616;38.948
791.257;57.879;51.615;38.947
792.255;57.864;51.618;38.948
793.245;57.871;51.615;38.945
794.239;57.889;51.616;38.946
795.242;57.866;51.618;38.946
796.252;57.867;51.617;38.945
797.234;57.87;51.617;38.945
798.223;57.873;51.62;38.947
799.217;57.842;51.619;38.948
800.216;57.844;51.621;38.948
801.217;57.847;51.62;38.946
802.221;57.85;51.622;38.946
803.204;57.844;51.623;38.949
804.186;57.839;51.624;38.951
805.173;57.837;51.624;38.949
806.167;57.856;51.623;38.946
807.17;57.837;51.624;38.948
808.17;57.845;51.624;38.947
809.172;57.819;51.626;38.952
810.147;57.847;51.625;38.945
811.144;57.847;51.623;38.944
812.138;57.82;51.626;38.947
813.145;57.838;51.625;38.945
814.151;57.824;51.627;38.948
815.154;57.824;51.627;38.949
816.154;57.815;51.627;38.948
817.136;57.82;51.628;38.947
818.14;57.819;51.627;38.947
819.135;57.823;51.628;38.946
820.136;57.812;51.63;38.949
821.144;57.814;51.628;38.946
822.142;57.83;51.63;38.946
823.124;57.811;51.631;38.947
824.108;57.809;51.63;38.947
825.106;57.813;51.63;38.946
826.108;57.803;51.632;38.949
827.103;57.785;51.633;38.949
828.102;57.797;51.633;38.948
829.089;57.785;51.635;38.951
830.09;57.786;51.633;38.949
831.092;57.806;51.631;38.945
832.098;57.806;51.631;38.944
833.11;57.799;51.634;38.948
834.102;57.788;51.633;38.946
835.1;57.786;51.634;38.947
836.103;57.772;51.636;38.949
837.087;57.784;51.634;38.946
838.092;57.797;51.632;38.942
839.092;57.768;51.634;38.947
840.098;57.761;51.633;38.943
841.107;57.789;51.631;38.939
842.092;57.8;51.632;38.938
843.107;57.8;51.632;38.939
844.097;57.798;51.632;38.938
845.089;57.785;51.634;38.941
846.084;57.755;51.636;38.947
847.082;57.791;51.632;38.939
848.085;57.777;51.634;38.939
849.079;57.784;51.632;38.936
850.074;57.746;51.636;38.944
851.07;57.783;51.633;38.936
852.077;57.74;51.634;38.942
853.072;57.773;51.633;38.937
854.059;57.773;51.633;38.937
855.042;57.766;51.635;38.938
