IDs:;240716_12_240712J;12_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
615.223;71.467;50.438;38.956
616.239;71.469;50.44;38.958
617.265;71.534;50.441;38.959
618.259;71.456;50.437;38.955
619.259;71.495;50.437;38.956
620.241;71.464;50.44;38.957
621.258;71.488;50.439;38.957
622.262;71.514;50.44;38.957
623.262;71.509;50.44;38.958
624.266;71.473;50.44;38.957
625.245;71.485;50.44;38.958
626.256;71.521;50.44;38.958
627.255;71.515;50.44;38.957
628.269;71.512;50.441;38.958
629.267;71.495;50.441;38.958
630.253;71.473;50.437;38.954
631.238;71.481;50.438;38.955
632.228;71.477;50.437;38.955
633.226;71.483;50.437;38.954
634.234;71.495;50.439;38.956
635.23;71.472;50.435;38.953
636.229;71.443;50.435;38.953
637.235;71.481;50.437;38.954
638.245;71.479;50.436;38.954
639.251;71.483;50.438;38.956
640.235;71.486;50.438;38.955
641.24;71.476;50.438;38.956
642.245;71.513;50.435;38.953
643.251;71.499;50.437;38.954
644.235;71.506;50.436;38.955
645.233;71.455;50.434;38.952
646.231;71.469;50.435;38.953
647.235;71.507;50.436;38.954
648.241;71.491;50.436;38.954
649.253;71.466;50.431;38.949
650.234;71.489;50.431;38.949
651.219;71.498;50.429;38.948
652.203;71.485;50.431;38.95
653.192;71.467;50.434;38.951
654.191;71.489;50.431;38.949
655.188;71.496;50.433;38.951
656.165;71.495;50.431;38.949
657.178;71.479;50.43;38.948
658.183;71.504;50.434;38.952
659.183;71.51;50.433;38.951
660.183;71.515;50.434;38.951
661.182;71.451;50.433;38.951
662.182;71.501;50.432;38.949
663.193;71.478;50.43;38.948
664.213;71.476;50.43;38.948
665.217;71.48;50.428;38.946
666.208;71.513;50.431;38.949
667.233;71.495;50.429;38.947
668.211;71.474;50.425;38.944
669.2;71.49;50.429;38.947
670.196;71.47;50.426;38.945
671.198;71.487;50.428;38.945
672.209;71.455;50.427;38.945
673.206;71.495;50.428;38.946
674.205;71.446;50.428;38.946
675.181;71.495;50.428;38.946
676.182;71.451;50.425;38.943
677.194;71.486;50.429;38.946
678.206;71.478;50.427;38.945
679.197;71.489;50.429;38.947
680.197;71.452;50.427;38.946
681.19;71.487;50.428;38.945
682.172;71.443;50.425;38.943
683.161;71.498;50.427;38.946
