IDs:;240715_05_240712D;05_DNAJB6_01_480_uM;
Concentration [uM]:;1.48;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
607.988;57.453;51.741;38.971
609.005;57.437;51.742;38.972
609.996;57.433;51.74;38.969
610.991;57.428;51.742;38.971
611.989;57.436;51.744;38.972
612.995;57.422;51.744;38.972
614.002;57.411;51.745;38.974
615.014;57.425;51.742;38.97
616.031;57.428;51.742;38.969
617.051;57.43;51.744;38.971
618.044;57.426;51.745;38.972
619.036;57.419;51.745;38.97
620.032;57.422;51.746;38.971
621.043;57.422;51.742;38.967
622.036;57.409;51.746;38.972
623.027;57.42;51.744;38.968
624.005;57.406;51.747;38.971
624.999;57.399;51.748;38.971
626.006;57.414;51.746;38.968
627.013;57.395;51.748;38.969
628.008;57.41;51.749;38.972
629.015;57.396;51.749;38.97
630.017;57.405;51.75;38.97
631.023;57.38;51.753;38.974
632.016;57.382;51.751;38.971
633.027;57.373;51.752;38.973
634.02;57.397;51.751;38.97
635.014;57.333;51.748;38.968
636.014;57.384;51.754;38.972
637.022;57.382;51.752;38.968
638.035;57.381;51.753;38.97
639.025;57.371;51.755;38.971
640.027;57.373;51.756;38.972
641.034;57.367;51.759;38.973
642.033;57.358;51.758;38.974
643.03;57.359;51.758;38.971
644.027;57.362;51.759;38.971
645.032;57.348;51.762;38.975
646.037;57.351;51.763;38.973
647.018;57.3;51.76;38.972
648;57.345;51.765;38.976
648.989;57.333;51.765;38.976
649.983;57.333;51.763;38.973
650.979;57.334;51.764;38.974
651.989;57.322;51.762;38.971
653.002;57.328;51.764;38.974
653.984;57.353;51.762;38.964
654.982;57.326;51.762;38.97
655.975;57.318;51.764;38.973
656.962;57.324;51.766;38.973
657.938;57.313;51.765;38.971
658.935;57.313;51.766;38.972
659.958;57.319;51.767;38.972
660.96;57.34;51.767;38.968
661.975;57.299;51.769;38.974
662.982;57.321;51.77;38.971
663.953;57.296;51.769;38.974
664.963;57.274;51.771;38.973
665.958;57.287;51.771;38.974
666.968;57.275;51.773;38.976
667.971;57.285;51.77;38.972
668.973;57.287;51.769;38.97
669.963;57.276;51.773;38.974
670.959;57.278;51.772;38.972
671.958;57.268;51.774;38.974
672.962;57.273;51.773;38.973
673.952;57.282;51.773;38.97
674.945;57.269;51.776;38.974
675.942;57.263;51.776;38.975
676.942;57.274;51.773;38.971
677.951;57.265;51.773;38.971
678.935;57.253;51.776;38.974
679.928;57.265;51.774;38.971
680.925;57.252;51.774;38.971
681.913;57.254;51.776;38.974
682.926;57.252;51.775;38.97
683.943;57.255;51.776;38.972
684.964;57.229;51.777;38.972
685.961;57.245;51.777;38.971
686.961;57.247;51.776;38.97
687.961;57.253;51.777;38.97
688.964;57.241;51.776;38.969
689.956;57.24;51.779;38.971
690.94;57.234;51.779;38.972
691.937;57.232;51.779;38.971
692.944;57.22;51.781;38.972
693.947;57.232;51.777;38.968
694.93;57.226;51.778;38.969
695.928;57.202;51.78;38.97
696.928;57.209;51.781;38.97
697.931;57.215;51.78;38.969
698.942;57.216;51.778;38.967
699.939;57.202;51.781;38.97
700.927;57.191;51.782;38.971
701.918;57.2;51.778;38.967
702.914;57.2;51.777;38.964
703.92;57.199;51.779;38.966
704.909;57.187;51.779;38.965
705.9;57.193;51.78;38.965
706.893;57.197;51.78;38.965
707.892;57.181;51.781;38.965
708.896;57.178;51.785;38.969
709.908;57.158;51.78;38.963
710.923;57.181;51.783;38.966
711.94;57.177;51.783;38.966
712.933;57.172;51.784;38.967
713.925;57.149;51.78;38.963
714.924;57.17;51.78;38.962
715.928;57.168;51.782;38.961
716.906;57.156;51.783;38.964
717.918;57.151;51.784;38.965
718.914;57.157;51.783;38.962
719.907;57.153;51.782;38.961
720.904;57.174;51.783;38.96
721.904;57.142;51.783;38.962
722.909;57.145;51.785;38.964
723.911;57.129;51.785;38.963
724.927;57.146;51.786;38.964
725.922;57.144;51.785;38.962
726.913;57.127;51.783;38.958
727.917;57.126;51.785;38.961
728.911;57.125;51.787;38.964
729.919;57.134;51.785;38.961
730.921;57.11;51.783;38.958
731.933;57.11;51.786;38.96
732.937;57.108;51.784;38.956
733.947;57.112;51.788;38.961
734.94;57.105;51.788;38.961
735.923;57.099;51.788;38.961
736.915;57.108;51.788;38.96
737.894;57.087;51.79;38.96
738.888;57.093;51.79;38.961
739.865;57.07;51.789;38.96
740.858;57.087;51.79;38.959
741.833;57.063;51.791;38.96
742.841;57.065;51.792;38.961
