IDs:;240911_03_240712D;15_b01_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
702.514;71.689;49.905;38.411
703.513;71.676;49.904;38.41
704.52;71.688;49.904;38.41
705.534;71.66;49.905;38.41
706.549;71.68;49.905;38.41
707.54;71.683;49.907;38.412
708.534;71.699;49.907;38.413
709.543;71.694;49.904;38.409
710.543;71.677;49.904;38.41
711.536;71.681;49.905;38.41
712.533;71.672;49.903;38.408
713.533;71.701;49.907;38.413
714.533;71.694;49.905;38.411
715.538;71.686;49.905;38.411
716.544;71.671;49.903;38.408
717.52;71.693;49.905;38.411
718.53;71.673;49.907;38.412
719.541;71.699;49.904;38.41
720.533;71.688;49.903;38.409
721.536;71.634;49.909;38.413
722.547;71.678;49.905;38.41
723.556;71.686;49.904;38.41
724.552;71.674;49.904;38.409
725.553;71.677;49.908;38.413
726.543;71.681;49.906;38.412
727.537;71.682;49.904;38.41
728.535;71.637;49.908;38.412
729.572;71.623;49.904;38.409
730.582;71.676;49.905;38.411
731.594;71.685;49.906;38.412
732.582;71.666;49.908;38.413
733.576;71.666;49.907;38.412
734.574;71.683;49.906;38.411
735.576;71.694;49.906;38.412
736.58;71.672;49.904;38.409
737.59;71.668;49.907;38.412
738.571;71.663;49.908;38.413
739.561;71.683;49.904;38.41
740.553;71.693;49.906;38.412
741.549;71.66;49.909;38.414
742.546;71.692;49.905;38.411
743.547;71.662;49.908;38.412
744.543;71.637;49.905;38.41
745.531;71.689;49.907;38.412
746.538;71.681;49.906;38.411
747.542;71.675;49.907;38.412
748.518;71.671;49.908;38.413
749.524;71.687;49.905;38.411
750.541;71.68;49.907;38.412
751.543;71.668;49.907;38.412
752.54;71.691;49.907;38.412
753.541;71.672;49.906;38.411
754.529;71.683;49.905;38.411
755.523;71.693;49.906;38.411
756.506;71.688;49.906;38.411
757.492;71.676;49.905;38.41
758.474;71.666;49.907;38.412
759.486;71.671;49.908;38.414
760.504;71.679;49.907;38.412
761.527;71.672;49.907;38.412
762.528;71.669;49.909;38.414
763.536;71.692;49.905;38.411
764.557;71.685;49.907;38.413
765.55;71.669;49.907;38.412
766.549;71.683;49.904;38.41
767.553;71.676;49.906;38.411
768.553;71.669;49.907;38.412
769.547;71.688;49.906;38.411
770.549;71.661;49.907;38.412
771.553;71.656;49.908;38.413
772.535;71.676;49.907;38.413
773.519;71.685;49.908;38.414
774.511;71.66;49.909;38.414
775.504;71.675;49.907;38.412
776.504;71.659;49.91;38.415
777.504;71.688;49.906;38.411
778.506;71.685;49.907;38.412
779.522;71.655;49.907;38.411
780.522;71.677;49.906;38.411
781.525;71.664;49.909;38.414
782.524;71.685;49.906;38.411
783.517;71.698;49.905;38.41
784.512;71.653;49.908;38.413
785.514;71.661;49.905;38.411
786.508;71.675;49.907;38.412
787.505;71.699;49.904;38.41
788.513;71.683;49.904;38.41
789.511;71.657;49.91;38.414
790.492;71.692;49.908;38.414
791.494;71.689;49.905;38.411
792.493;71.705;49.906;38.412
793.494;71.67;49.906;38.411
794.473;71.656;49.907;38.411
795.463;71.725;49.905;38.412
796.465;71.615;49.907;38.412
797.448;71.684;49.907;38.411
798.463;71.655;49.909;38.414
799.451;71.662;49.908;38.413
800.449;71.694;49.906;38.412
801.451;71.675;49.91;38.415
802.454;71.67;49.906;38.412
803.464;71.674;49.907;38.412
804.478;71.658;49.907;38.412
805.464;71.728;49.908;38.413
806.451;71.69;49.907;38.412
807.442;71.66;49.91;38.414
808.436;71.65;49.907;38.412
809.435;71.691;49.908;38.413
810.438;71.691;49.908;38.413
811.449;71.656;49.908;38.413
812.432;71.672;49.909;38.414
813.42;71.692;49.905;38.411
814.412;71.666;49.908;38.413
815.406;71.684;49.906;38.411
816.402;71.7;49.907;38.413
817.396;71.644;49.91;38.414
818.39;71.649;49.909;38.414
819.365;71.682;49.909;38.414
820.367;71.671;49.911;38.416
821.359;71.689;49.906;38.411
822.335;71.667;49.909;38.414
823.327;71.672;49.907;38.413
824.311;71.667;49.908;38.413
825.301;71.705;49.908;38.413
826.298;71.686;49.908;38.413
827.296;71.697;49.908;38.414
828.283;71.68;49.91;38.414
829.275;71.69;49.908;38.413
830.281;71.658;49.907;38.412
831.298;71.68;49.905;38.412
832.293;71.658;49.91;38.414
833.273;71.675;49.906;38.411
834.275;71.7;49.907;38.413
835.259;71.638;49.909;38.413
836.251;71.665;49.909;38.413
837.252;71.7;49.909;38.415
838.237;71.645;49.91;38.414
839.254;71.69;49.905;38.411
840.276;71.685;49.907;38.412
841.265;71.676;49.907;38.412
842.276;71.708;49.905;38.411
843.261;71.674;49.906;38.41
844.248;71.652;49.905;38.41
845.243;71.675;49.907;38.412
846.247;71.712;49.905;38.413
847.235;71.698;49.91;38.415
848.23;71.609;49.911;38.415
849.205;71.633;49.908;38.413
