time/h	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	Ab42	Ab42	Ab42	Ab42
8.1250	28075	32221	29441	28831	54727	54278	55518	56386	69629	67699	69555	69780	89519	90275	1.0029e+05	89148
8.1611	27679	32649	29842	29965	55413	54228	54807	55972	70715	66962	68650	69400	90295	90080	1.0050e+05	89413
8.1972	27932	33160	29926	29657	55076	54783	55194	56554	70157	67257	69176	69908	89833	88936	1.0039e+05	89013
8.2333	27621	33129	30068	29712	54571	53728	55376	55230	69469	67035	69294	69896	88775	90337	1.0090e+05	89483
8.2694	28630	32524	29989	29777	54916	54835	55423	55882	70166	68077	69101	69354	89703	89387	1.0056e+05	89947
8.3056	28305	33650	30011	29528	55381	54720	55207	55954	69893	68033	69539	69944	89526	90573	1.0094e+05	89890
8.3417	28494	33680	30458	30070	55542	55665	55273	55846	70222	66615	69142	69925	89619	90862	1.0076e+05	90014
8.3778	28920	33921	30919	30283	54834	54970	55474	56076	69656	67806	70010	69901	89606	90665	1.0132e+05	89500
8.4139	29246	34246	30853	30446	55254	55156	54492	55515	70759	67458	69960	70410	89518	89561	1.0092e+05	90581
8.4500	29503	34526	31345	30646	55327	55550	54730	56849	70754	67561	69024	69014	90130	89251	1.0156e+05	89839
8.4861	29515	34797	31733	31063	55181	54292	54788	55607	69618	67797	68890	70576	89178	90386	99851	89202
8.5222	30333	35215	31222	31180	55285	54743	54590	55754	70683	67250	69610	70225	90020	89195	1.0171e+05	89284
8.5583	29602	35516	31439	31672	55150	54722	55222	56042	69498	67649	69094	70297	89832	91003	1.0066e+05	89585
8.5944	30262	35067	31840	31562	55196	55550	55227	56141	69682	68029	69807	69934	89664	91483	1.0100e+05	89836
8.6306	30193	35590	32666	31250	55031	55395	54593	56121	69997	67484	69234	69425	89884	89776	1.0018e+05	90212
8.6667	30467	35892	32178	31474	55466	54934	55167	56517	71199	67934	69736	69534	91212	90865	1.0147e+05	89416
8.7028	30087	36026	32337	31658	54599	55250	54779	56353	70125	67561	69560	69286	90891	91690	1.0190e+05	89378
8.7389	31173	36253	32616	32093	54842	54896	55054	55895	70321	67114	69569	70558	90563	90264	1.0081e+05	89057
8.7750	30957	36087	32743	32729	54945	55572	54973	56376	70318	67640	69278	69311	89790	90954	1.0222e+05	90267
8.8111	31067	36885	33212	32936	55047	55024	54588	55900	70021	67863	69443	69608	90946	90433	1.0180e+05	89521
