"q (Å^-1)"	"Intensity (cm^-1) AB 20-34 5 mM"	"Intensity (cm^-1) Monomer random coil model"	"Intensity (cm^-1) low q slope"
2.198274000	0.00657760000000	0.00003392677863	
2.191031000	0.00584370000000	0.00003415098727	
2.183789000	0.00550810000000	0.00003437739283	
2.176546000	0.00505180000000	0.00003460608744	
2.169304000	0.00656520000000	0.00003483703805	
2.162061000	0.00444310000000	0.00003507033902	
2.154818000	0.00511810000000	0.00003530598975	
2.147576000	0.00629800000000	0.00003554398885	
2.140333000	0.00521300000000	0.00003578443420	
2.133091000	0.00442090000000	0.00003602729212	
2.125848000	0.00526880000000	0.00003627266295	
2.118605000	0.00499610000000	0.00003652054716	
2.111363000	0.00563910000000	0.00003677094442	
2.104120000	0.00587130000000	0.00003702395888	
2.096878000	0.00587170000000	0.00003727955627	
2.089635000	0.00533750000000	0.00003753784342	
2.082392000	0.00514130000000	0.00003779882206	
2.075150000	0.00532450000000	0.00003806249309	
2.067907000	0.00481180000000	0.00003832896747	
2.060665000	0.00485480000000	0.00003859821042	
2.053422000	0.00471900000000	0.00003887033582	
2.046179000	0.00515270000000	0.00003914534685	
2.038937000	0.00452700000000	0.00003942324587	
2.031694000	0.00519470000000	0.00003970415126	
2.024452000	0.00397460000000	0.00003998802780	
2.017209000	0.00351940000000	0.00004027499703	
2.009966000	0.00398420000000	0.00004056506388	
2.002724000	0.00380890000000	0.00004085823235	
1.995481000	0.00417660000000	0.00004115462891	
1.988239000	0.00287690000000	0.00004145421804	
1.980996000	0.00239090000000	0.00004175712966	
1.973753000	0.00253930000000	0.00004206337067	
1.966511000	0.00323780000000	0.00004237294702	
1.959268000	0.00115030000000	0.00004268599402	
1.952026000	0.00258730000000	0.00004300247597	
1.944783000	0.00192010000000	0.00004332253195	
1.937540000	0.00193980000000	0.00004364617117	
1.930298000	-0.00000230000000	0.00004397340182	
1.923055000	0.00113540000000	0.00004430436891	
1.915813000	0.00030320000000	0.00004463903672	
1.908570000	0.00077810000000	0.00004497755438	
1.901327000	0.00005870000000	0.00004531993376	
1.894085000	-0.00055320000000	0.00004566618566	
1.886842000	-0.00056090000000	0.00004601646574	
1.879600000	0.00024540000000	0.00004637073844	
1.872357000	-0.00030670000000	0.00004672916396	
1.865114000	-0.00222810000000	0.00004709175722	
1.857872000	-0.00136820000000	0.00004745853208	
1.850629000	-0.00120640000000	0.00004782965591	
1.843387000	-0.00140780000000	0.00004820509355	
1.836144000	-0.00249350000000	0.00004858501736	
1.828901000	-0.00316230000000	0.00004896944584	
1.821659000	-0.00288450000000	0.00004935839639	
1.814416000	-0.00268980000000	0.00004975204926	
1.807174000	-0.00218820000000	0.00005015037002	
1.799931000	-0.00341980000000	0.00005055354444	
1.792688000	-0.00343400000000	0.00005096159517	
1.785446000	-0.00413730000000	0.00005137454371	
1.778203000	-0.00543600000000	0.00005179258456	
1.770960000	-0.00425340000000	0.00005221574314	
1.763718000	-0.00346010000000	0.00005264404374	
1.756475000	-0.00450990000000	0.00005307769015	
1.749233000	-0.00415190000000	0.00005351664984	
1.741990000	-0.00438420000000	0.00005396113313	
1.734747000	-0.00456640000000	0.00005441117068	
1.727505000	-0.00621020000000	0.00005486679201	
1.720262000	-0.00564370000000	0.00005532821771	
1.713020000	-0.00514510000000	0.00005579541708	
1.705777000	-0.00651800000000	0.00005626861796	
1.698534000	-0.00626400000000	0.00005674785712	
1.691292000	-0.00455270000000	0.00005723317019	
1.684049000	-0.00584030000000	0.00005772479642	
1.676807000	-0.00503820000000	0.00005822270755	
1.669564000	-0.00542520000000	0.00005872715090	
1.662321000	-0.00485220000000	0.00005923817039	
1.655079000	-0.00497070000000	0.00005975580872	
1.647836000	-0.00499800000000	0.00006028032601	
1.640594000	-0.00570380000000	0.00006081169712	
1.633351000	-0.00616980000000	0.00006135019116	
1.626108000	-0.00597770000000	0.00006189586032	
1.618866000	-0.00622780000000	0.00006244875563	
1.611623000	-0.00564490000000	0.00006300916049	
1.604381000	-0.00530310000000	0.00006357705377	
1.597138000	-0.00633380000000	0.00006415272897	
1.589895000	-0.00522430000000	0.00006473624797	
1.582653000	-0.00635235000000	0.00006532767149	
1.575410000	-0.00459189000000	0.00006592730908	
1.568168000	-0.00438014000000	0.00006653514467	
1.560925000	-0.00473934000000	0.00006715149914	
1.553682000	-0.00554641000000	0.00006777644571	
1.546440000	-0.00487953000000	0.00006841005646	
1.539197000	-0.00496335000000	0.00006905267034	
1.531955000	-0.00492069000000	0.00006970427765	
1.524712000	-0.00424425000000	0.00007036523010	
1.517469000	-0.00573264000000	0.00007103561417	
1.510227000	-0.00451945000000	0.00007171551535	
1.502984000	-0.00354140000000	0.00007240530572	
1.495742000	-0.00337796000000	0.00007310498352	
1.488499000	-0.00470925000000	0.00007381493529	
1.481256000	-0.00420144000000	0.00007453526315	
1.474014000	-0.00446900000000	0.00007526606829	
1.466771000	-0.00421021000000	0.00007600776036	
1.459529000	-0.00490498000000	0.00007676034743	
1.452286000	-0.00397382000000	0.00007752425555	
1.445043000	-0.00356557000000	0.00007829960522	
1.437801000	-0.00424324000000	0.00007908651620	
1.430558000	-0.00372603000000	0.00007988544079	
1.423316000	-0.00306870000000	0.00008069639926	
1.416073000	-0.00371219000000	0.00008151986259	
1.408830000	-0.00242619000000	0.00008235597300	
1.401588000	-0.00322608000000	0.00008320487221	
1.394345000	-0.00378810000000	0.00008406706119	
1.387103000	-0.00315463000000	0.00008494257521	
1.379860000	-0.00317997000000	0.00008583193662	
1.372617000	-0.00350969000000	0.00008673531334	
1.365375000	-0.00320825000000	0.00008765287317	
1.358132000	-0.00228196000000	0.00008858517275	
1.350890000	-0.00304653000000	0.00008953226592	
1.343647000	-0.00291457000000	0.00009049473387	
1.336404000	-0.00270384000000	0.00009147277512	
1.329162000	-0.00254107000000	0.00009246658844	
1.321919000	-0.00218041000000	0.00009347679454	
1.314677000	-0.00200338000000	0.00009450347007	
1.307434000	-0.00274223000000	0.00009554726404	
1.300191000	-0.00175039000000	0.00009660841139	
1.292949000	-0.00239924000000	0.00009768714793	
1.285706000	-0.00172354000000	0.00009878416827	
1.278464000	-0.00190741000000	0.00009989957728	
1.271221000	-0.00231473000000	0.00010103410233	
1.263978000	-0.00214313000000	0.00010218802199	
1.256736000	-0.00239778000000	0.00010336161640	
1.249493000	-0.00237985000000	0.00010455566594	
1.242250000	-0.00210001000000	0.00010577047942	
1.235008000	-0.00232774000000	0.00010700636779	
1.227765000	-0.00234338000000	0.00010826416951	
