"Time (h)"	"Time (h)"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"
37.85000000							0.22690345555015									
37.95000000							0.22592165130339									
38.05000000							0.22494408477227									
38.15000000							0.22397073798014									
38.25000000							0.22300159301695									
38.35000000							0.22203663203974									
38.45000000							0.22107583727236									
38.55000000							0.22011919100564									
38.65000000							0.21916667559736									
38.75000000							0.21821827347222									
38.85000000							0.21727396712189									
38.95000000							0.21633373910487									
39.05000000							0.21539757204675									
39.15000000							0.21446544863971									
39.25000000							0.21353735164304									
39.35000000							0.21261326388253									
39.45000000							0.21169316825097									
39.55000000							0.21077704770750									
39.65000000							0.20986488527811									
39.75000000							0.20895666405519									
39.85000000							0.20805236719754									
39.95000000							0.20715197793038									
40.05000000							0.20625547954520									
40.15000000							0.20536285539945									
40.25000000							0.20447408891702									
40.35000000							0.20358916358730									
40.45000000							0.20270806296596									
40.55000000							0.20183077067395									
40.65000000							0.20095727039821									
40.75000000							0.20008754589093									
40.85000000							0.19922158096966									
40.95000000							0.19835935951732									
41.05000000							0.19750086548163									
41.15000000							0.19664608287554									
41.25000000							0.19579499577655									
41.35000000							0.19494758832691									
41.45000000							0.19410384473334									
41.55000000							0.19326374926686									
41.65000000							0.19242728626267									
41.75000000							0.19159444012013									
41.85000000							0.19076519530212									
41.95000000							0.18993953633554									
42.05000000							0.18911744781062									
42.15000000							0.18829891438091									
42.25000000							0.18748392076323									
42.35000000							0.18667245173743									
42.45000000							0.18586449214591									
42.55000000							0.18506002689409									
42.65000000							0.18425904094948									
42.75000000							0.18346151934203									
42.85000000							0.18266744716383									
42.95000000							0.18187680956871									
43.05000000							0.18108959177227									
43.15000000							0.18030577905177									
43.25000000							0.17952535674550									
43.35000000							0.17874831025304									
43.45000000							0.17797462503510									
43.55000000							0.17720428661254									
43.65000000							0.17643728056758									
43.75000000							0.17567359254209									
43.85000000							0.17491320823835									
43.95000000							0.17415611341865									
44.05000000							0.17340229390488									
44.15000000							0.17265173557858									
44.25000000							0.17190442438045									
44.35000000							0.17116034631083									
44.45000000							0.17041948742798									
44.55000000							0.16968183385017									
44.65000000							0.16894737175298									
44.75000000							0.16821608737123									
44.85000000							0.16748796699726									
44.95000000							0.16676299698151									
45.05000000							0.16604116373231									
45.15000000							0.16532245371511									
45.25000000							0.16460685345265									
45.35000000							0.16389434952512									
45.45000000							0.16318492856941									
45.55000000							0.16247857727863									
45.65000000							0.16177528240286									
45.75000000							0.16107503074808									
45.85000000							0.16037780917692									
45.95000000							0.15968360460637									
46.05000000							0.15899240401098									
46.15000000							0.15830419441915									
46.25000000							0.15761896291484									
46.35000000							0.15693669663772									
46.45000000							0.15625738278090									
46.55000000							0.15558100859321									
