Distance / mm	5 nM	13 nM	21 nM	37 nM	69 nM	131 nM	256 nM	512 nM	1 uM	2 uM	4 uM	8 uM	16 uM	32 uM
22.226	132.56	58.162	57.100	62.275	73.188	105.68	102.61	211.70	215.41	210.93	187.64	214.24	70.938	34.237
22.354	133.40	58.975	57.763	63.787	75.025	106.34	103.41	211.35	213.54	210.24	184.88	210.93	69.662	34.138
22.483	134.15	60.200	58.600	64.800	75.963	106.51	104.00	210.71	212.14	207.06	182.30	206.40	68.100	33.888
22.611	135.05	61.925	59.975	66.113	77.162	107.46	104.84	210.55	210.09	205.56	181.51	202.02	66.562	33.800
22.740	135.43	63.675	60.950	67.275	78.062	108.41	105.06	208.93	207.45	203.34	180.77	197.02	65.500	33.600
22.868	135.21	65.575	62.450	68.887	79.613	109.50	105.56	208.14	205.45	202.09	181.05	193.59	64.238	33.475
22.997	134.76	67.412	63.500	70.312	81.150	109.93	105.89	206.54	203.04	200.15	179.25	189.44	61.800	33.275
23.125	134.66	68.975	65.037	72.425	83.125	111.11	106.96	206.15	201.11	198.96	178.29	185.86	60.675	33.588
23.253	134.24	70.688	66.600	74.412	84.887	111.46	107.30	205.86	198.48	195.81	175.43	180.60	58.675	35.125
23.382	134.90	72.863	68.188	76.050	86.562	113.03	107.49	206.46	197.02	193.57	175.95	177.79	57.400	37.425
23.510	134.29	74.188	70.050	77.900	88.688	114.34	107.76	205.96	194.99	191.68	175.84	174.75	56.438	36.225
23.639	133.82	75.887	71.450	79.775	91.325	115.81	108.75	205.40	192.64	188.68	175.43	170.86	55.325	35.650
23.767	134.23	77.787	73.588	81.300	93.650	117.29	109.50	205.10	191.39	185.96	174.57	167.13	54.963	34.075
23.896	135.35	80.213	75.500	83.113	95.875	119.03	110.20	204.01	190.40	183.63	174.27	163.56	54.487	32.150
24.024	137.07	83.037	77.675	85.963	98.775	121.29	111.45	204.20	190.10	182.49	173.34	160.36	52.575	31.500
24.153	137.85	85.725	79.213	88.213	101.49	123.04	112.80	203.46	187.70	179.80	171.90	156.01	50.938	30.950
24.281	139.91	88.037	82.213	90.875	104.41	125.68	114.28	202.89	186.74	179.41	171.76	152.30	50.025	30.763
24.410	140.85	90.675	84.725	93.200	106.44	127.84	115.11	202.46	184.44	177.38	170.25	147.65	48.963	30.500
24.538	143.13	93.450	87.613	96.588	109.72	130.73	117.11	203.25	182.99	177.35	170.04	144.10	47.938	30.475
24.667	145.46	95.963	90.537	99.113	113.43	133.02	118.60	203.29	181.31	176.73	169.36	140.24	46.737	30.388
24.795	149.25	98.575	93.775	101.81	116.34	136.00	120.30	203.44	180.60	175.15	168.04	136.32	45.938	30.362
24.924	152.65	101.66	96.925	105.26	119.31	138.31	121.21	203.75	179.18	173.38	166.52	131.93	45.300	30.263
25.052	156.36	105.69	100.51	108.49	122.97	141.10	122.78	203.81	178.26	172.80	165.75	128.39	44.987	30.413
25.181	159.45	109.29	103.95	111.68	127.81	145.27	125.45	205.71	177.19	171.94	165.39	125.16	47.487	31.087
25.309	161.94	113.18	106.81	114.94	131.04	147.71	127.18	205.98	175.45	170.77	163.99	121.56	43.825	30.538
25.438	166.52	118.04	110.88	118.86	136.50	151.37	128.79	207.34	174.86	169.80	164.20	118.85	41.950	30.075
25.566	171.00	122.59	115.32	122.21	140.89	154.35	130.46	209.06	174.57	169.30	162.34	114.91	40.838	29.962
25.694	176.91	128.02	120.32	126.38	146.46	159.20	133.36	210.69	175.15	169.10	162.24	112.01	40.200	30.638
25.823	183.52	133.07	124.79	131.50	151.34	163.79	136.16	212.12	174.64	168.31	160.94	108.91	39.188	31.075
25.951	190.75	138.09	129.99	136.44	156.76	169.26	139.32	213.26	174.82	168.07	159.94	106.31	38.537	30.300
26.080	196.36	142.25	134.93	141.00	161.82	174.26	141.84	213.20	174.55	166.20	158.54	103.50	37.987	29.712
26.208	203.25	147.77	140.18	146.63	167.11	180.96	145.31	214.31	175.32	165.71	157.54	101.61	37.400	29.500
26.337	209.75	154.43	145.82	152.20	173.66	186.73	148.61	213.85	175.75	165.09	156.61	101.75	36.838	29.375
26.465	215.82	160.94	151.64	158.38	180.15	192.55	151.45	213.56	175.09	164.43	154.69	98.125	35.975	29.275
26.594	223.98	168.29	158.64	165.48	186.99	198.70	154.84	214.45	176.10	163.91	153.25	93.588	35.463	29.312
26.722	230.05	175.27	165.77	171.66	194.82	205.07	158.18	214.32	176.13	163.49	151.89	89.525	34.925	29.462
26.851	236.16	181.93	173.01	178.79	203.59	212.05	162.18	214.19	176.86	163.25	150.21	86.963	34.400	29.788
26.979	242.66	189.48	180.59	185.23	210.90	219.00	165.49	214.44	176.75	161.69	148.52	84.850	33.787	29.513
27.108	247.66	199.38	189.13	192.52	221.61	226.40	170.00	216.41	177.20	161.93	147.15	84.688	33.050	29.163
27.236	250.76	206.98	197.11	199.06	230.52	231.15	173.51	215.57	175.95	161.36	144.38	82.200	32.450	28.987
27.365	253.18	215.82	206.87	207.49	239.96	238.48	178.30	217.68	177.15	161.84	142.52	77.412	31.975	29.350
27.493	254.49	225.20	215.30	216.51	247.96	244.64	182.50	219.20	177.00	161.61	140.56	74.338	31.500	30.562
27.622	254.95	234.86	223.61	224.59	252.21	249.45	186.07	220.74	177.60	160.80	138.79	71.800	30.812	30.300
27.750	255.00	243.76	231.50	232.59	253.84	252.93	190.07	222.00	178.63	159.95	136.84	69.213	30.188	28.888
27.878	255.00	249.85	238.11	239.46	254.71	254.46	193.81	222.27	178.94	158.48	134.10	67.475	29.650	28.100
28.007	254.51	253.48	244.62	245.57	254.99	254.99	198.18	224.36	179.69	157.61	131.80	65.825	29.475	27.788
28.135	254.39	254.82	249.56	250.04	255.00	255.00	201.81	224.02	179.66	155.99	129.07	63.662	29.188	27.400
28.264	255.00	255.00	253.26	253.06	255.00	255.00	206.69	224.29	179.23	154.25	127.36	63.125	29.000	27.513
28.392	255.00	255.00	254.68	254.55	255.00	255.00	210.73	224.31	179.09	152.80	124.96	62.088	28.400	27.625
28.521	255.00	255.00	254.99	254.90	255.00	255.00	215.49	224.36	179.09	152.68	123.39	59.213	28.413	28.025
28.649	255.00	255.00	255.00	255.00	255.00	255.00	219.24	223.66	178.87	151.25	121.07	56.725	28.000	28.900
28.778	255.00	255.00	255.00	255.00	255.00	255.00	223.94	223.59	179.07	150.15	118.68	54.987	27.212	29.825
