"q (Å^-1)"	"Intensity (cm-1) 1000 nM JB6"	"Intensity (cm-1) 300 nM JB6"	"Intensity (cm-1) 0 nM JB6"
0.9090908000	-0.00137627000000	-0.00126911000000	-0.00121616000000
0.9018482000	-0.00127426000000	-0.00121216000000	-0.00127841000000
0.8946056000	-0.00006921000000	-0.00012791000000	-0.00008894000000
0.8873630000	-0.00011521000000	-0.00046984000000	-0.00009354000000
0.8801204000	-0.00039574000000	-0.00047135000000	-0.00029015000000
0.8728778000	-0.00111106000000	-0.00086859000000	-0.00089147000000
0.8656352000	-0.00071665000000	-0.00083180000000	-0.00092054000000
0.8583925000	-0.00089661000000	-0.00098301000000	-0.00093920000000
0.8511499000	-0.00035397000000	-0.00052781000000	-0.00018902000000
0.8439073000	-0.00042916000000	-0.00013429000000	-0.00033803000000
0.8366647000	-0.00006154000000	0.00016769000000	0.00010863000000
0.8294221000	-0.00066439000000	-0.00071600000000	-0.00003351000000
0.8221795000	0.00011556000000	0.00031906000000	0.00033036000000
0.8149369000	-0.00057045000000	-0.00089402000000	-0.00067258000000
0.8076943000	-0.00083266000000	-0.00079842000000	-0.00101545000000
0.8004517000	-0.00061093000000	-0.00099075000000	-0.00089406000000
0.7932091000	-0.00031491000000	-0.00076539000000	-0.00048405000000
0.7859665000	-0.00016608000000	-0.00017022000000	0.00020129000000
0.7787239000	0.00056284000000	0.00012717000000	0.00058905000000
0.7714813000	-0.00011822000000	0.00006693000000	-0.00029690000000
0.7642387000	-0.00001344000000	-0.00039549000000	0.00012447000000
0.7569961000	-0.00027458000000	0.00002559000000	-0.00008084000000
0.7497535000	0.00020727000000	-0.00031180000000	0.00018982000000
0.7425109000	-0.00057646000000	-0.00042921000000	-0.00011870000000
0.7352683000	0.00008906000000	0.00022844000000	-0.00032985000000
0.7280257000	-0.00095400000000	-0.00117265000000	-0.00080666000000
0.7207831000	0.00019572000000	-0.00052501000000	-0.00047371000000
0.7135405000	-0.00017739000000	-0.00024142000000	-0.00073353000000
0.7062979000	-0.00038344000000	-0.00057987000000	-0.00002525000000
0.6990553000	-0.00026543000000	0.00026133000000	0.00029370000000
0.6918127000	-0.00077314000000	-0.00036830000000	-0.00078745000000
0.6845701000	-0.00013537000000	0.00002890000000	-0.00016131000000
0.6773275000	0.00044724000000	0.00062375000000	0.00046652000000
0.6700849000	-0.00018057000000	-0.00043296000000	-0.00013658000000
0.6628423000	0.00066988000000	0.00039709000000	0.00040859000000
0.6555997000	-0.00025904000000	-0.00031501000000	-0.00013327000000
0.6483571000	0.00079194000000	0.00055590000000	0.00065955000000
0.6411145000	-0.00045480000000	-0.00015714000000	-0.00008141000000
0.6338719000	0.00016285000000	0.00027554000000	0.00066558000000
0.6266293000	-0.00026403000000	0.00023512000000	0.00014833000000
0.6193867000	0.00066829000000	0.00059020000000	0.00072966000000
0.6121441000	0.00005382000000	0.00049603000000	0.00076363000000
0.6049015000	0.00059398000000	0.00066073000000	0.00051241000000
0.5976589000	0.00022108000000	0.00013092000000	0.00039351000000
0.5904162000	0.00097720000000	0.00049166000000	0.00052118000000
0.5831736000	0.00021283000000	0.00007427000000	-0.00036018000000
0.5759310000	0.00079934000000	0.00051918000000	0.00090987000000
0.5686884000	0.00108275000000	0.00012936000000	0.00103140000000
0.5614458000	-0.00023772000000	0.00034019000000	0.00030138000000
0.5579689000	0.00061346000000	0.00021728000000	0.00047149000000
0.5560744000	-0.00081571000000	-0.00156013000000	-0.00064100000000
0.5541799000	0.00049674000000	0.00013107000000	-0.00029322000000
0.5522854000	-0.00075141000000	-0.00179791000000	-0.00153182000000
0.5503909000	0.00068566000000	-0.00000288000000	0.00011352000000
0.5484964000	0.00009660000000	-0.00118058000000	-0.00035390000000
0.5466019000	0.00050351000000	0.00043220000000	0.00034401000000
0.5447074000	0.00027807000000	-0.00041590000000	0.00004431000000
0.5428129000	0.00030972000000	-0.00099089000000	-0.00037295000000
0.5409184000	0.00165446000000	0.00081780000000	0.00007110000000
0.5390239000	0.00094088000000	0.00052173000000	0.00129671000000
