(ppm)	"Intensity (a.u.) (without JB6)"	"Intensity (a.u.) (With JB6)"
8.86355416031107	-1.62e+007	-5.00e+007
8.86330967644824	-1.38e+007	-5.52e+007
8.86306519258541	-1.28e+007	-5.86e+007
8.86282070872258	-1.47e+007	-5.90e+007
8.86257622485975	-1.99e+007	-5.68e+007
8.86233174099692	-2.82e+007	-5.30e+007
8.86208725713409	-3.74e+007	-4.85e+007
8.86184277327126	-4.43e+007	-4.43e+007
8.86159828940843	-4.65e+007	-4.13e+007
8.86135380554560	-4.48e+007	-4.03e+007
8.86110932168277	-4.20e+007	-4.05e+007
8.86086483781994	-4.07e+007	-4.02e+007
8.86062035395711	-4.20e+007	-3.81e+007
8.86037587009428	-4.58e+007	-3.42e+007
8.86013138623145	-5.06e+007	-2.94e+007
8.85988690236862	-5.38e+007	-2.42e+007
8.85964241850579	-5.28e+007	-1.95e+007
8.85939793464296	-4.68e+007	-1.64e+007
8.85915345078013	-3.78e+007	-1.49e+007
8.85890896691730	-2.82e+007	-1.37e+007
8.85866448305447	-1.96e+007	-1.14e+007
8.85841999919164	-1.25e+007	-8062976.00
8.85817551532881	-6951424.00	-4818944.00
8.85793103146598	-4105728.00	-1797120.00
8.85768654760314	-4847616.00	1884160.00
8.85744206374032	-8898560.00	6736896.00
8.85719757987748	-1.46e+007	1.20e+007
8.85695309601465	-1.98e+007	1.64e+007
8.85670861215182	-2.35e+007	1.84e+007
8.85646412828899	-2.55e+007	1.71e+007
8.85621964442616	-2.56e+007	1.19e+007
8.85597516056333	-2.32e+007	3227648.00
8.85573067670050	-1.84e+007	-7287808.00
8.85548619283767	-1.31e+007	-1.74e+007
8.85524170897484	-9379328.00	-2.49e+007
8.85499722511201	-6584320.00	-2.89e+007
8.85475274124918	-2689536.00	-3.02e+007
8.85450825738635	2802688.00	-3.15e+007
8.85426377352352	7322112.00	-3.45e+007
8.85401928966069	7406080.00	-3.84e+007
8.85377480579786	1798656.00	-4.06e+007
8.85353032193503	-7789056.00	-3.90e+007
8.85328583807220	-1.80e+007	-3.37e+007
8.85304135420937	-2.52e+007	-2.65e+007
8.85279687034654	-2.74e+007	-1.96e+007
8.85255238648371	-2.53e+007	-1.51e+007
8.85230790262088	-2.27e+007	-1.39e+007
8.85206341875805	-2.32e+007	-1.40e+007
8.85181893489522	-2.68e+007	-1.18e+007
8.85157445103239	-2.98e+007	-5760000.00
8.85132996716956	-2.88e+007	1843200.00
8.85108548330673	-2.41e+007	6626304.00
8.85084099944390	-1.90e+007	6876160.00
8.85059651558107	-1.65e+007	4965376.00
8.85035203171824	-1.62e+007	4442112.00
8.85010754785541	-1.56e+007	6791168.00
8.84986306399258	-1.26e+007	1.12e+007
8.84961858012975	-8468480.00	1.60e+007
8.84937409626692	-6037504.00	1.98e+007
8.84912961240408	-6781952.00	2.16e+007
8.84888512854126	-9377280.00	2.09e+007
8.84864064467842	-1.20e+007	1.84e+007
8.84839616081559	-1.45e+007	1.58e+007
8.84815167695276	-1.80e+007	1.44e+007
8.84790719308993	-2.20e+007	1.46e+007
8.84766270922710	-2.39e+007	1.58e+007
8.84741822536427	-2.23e+007	1.71e+007
8.84717374150144	-1.90e+007	1.78e+007
8.84692925763861	-1.70e+007	1.76e+007
8.84668477377578	-1.75e+007	1.64e+007
8.84644028991295	-1.83e+007	1.34e+007
8.84619580605012	-1.68e+007	7847936.00
8.84595132218729	-1.24e+007	356352.00
8.84570683832446	-7314432.00	-6680576.00
8.84546235446163	-3878400.00	-1.11e+007
8.84521787059880	-2388480.00	-1.32e+007
8.84497338673597	-1087488.00	-1.48e+007
8.84472890287314	1862656.00	-1.67e+007
8.84448441901031	6835200.00	-1.72e+007
8.84423993514748	1.29e+007	-1.46e+007
8.84399545128465	1.90e+007	-9808896.00
8.84375096742182	2.39e+007	-5900288.00
8.84350648355899	2.71e+007	-5482496.00
8.84326199969616	2.87e+007	-8511488.00
8.84301751583333	2.99e+007	-1.26e+007
8.84277303197050	3.12e+007	-1.45e+007
8.84252854810767	3.05e+007	-1.25e+007
8.84228406424484	2.54e+007	-7022592.00
8.84203958038201	1.61e+007	-1028096.00
8.84179509651918	6423552.00	2463744.00
8.84155061265635	472576.00	2548736.00
8.84130612879352	-1263616.00	1031168.00
8.84106164493069	-1417216.00	636928.00
8.84081716106786	-2466816.00	2666496.00
8.84057267720502	-4829184.00	6051840.00
8.84032819334219	-7622144.00	8430592.00
